"","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"1","(Intercept)",53.5850846562329,0.301568044158411,177.688205677671,0,52.9938741819695,54.1762951304963
"2","Weight",0.346727960399229,0.00255354646286955,135.782906416981,0,0.341721848363785,0.351734072434672
"3","Age",-0.0179594693297578,0.00304165208761165,-5.90451136831361,3.77856017671005e-09,-0.0239224903065972,-0.0119964483529184
"4","Height",-0.316762940663388,0.00164203137994033,-192.909188297546,0,-0.319982068716557,-0.313543812610218
"5","Sex",-0.116678020283333,0.0290129293381143,-4.02158702844436,5.86884526724946e-05,-0.173556552495274,-0.0597994880713925
"6","Weight:Age",0.00030591437651864,4.14328052941852e-05,7.38338556480927,1.80735796183595e-13,0.000224687240744368,0.000387141512292912
